"filename", "language", "Python", "Markdown", "JSON", "comment", "blank", "total"
"d:\Documents\GitHub\AniHub\data\subscribed.json", "JSON", 0, 0, 552, 0, 0, 552
"d:\Documents\GitHub\AniHub\data\subscribed_copy.json", "JSON", 0, 0, 552, 0, 0, 552
"d:\Documents\GitHub\AniHub\data\teams.json", "JSON", 0, 0, 13, 0, 0, 13
"d:\Documents\GitHub\AniHub\gui\main.py", "Python", 103, 0, 0, 15, 41, 159
"d:\Documents\GitHub\AniHub\gui\search_interface\interface.py", "Python", 40, 0, 0, 3, 15, 58
"d:\Documents\GitHub\AniHub\gui\search_interface\search_bar.py", "Python", 44, 0, 0, 0, 17, 61
"d:\Documents\GitHub\AniHub\gui\search_interface\search_result_table.py", "Python", 140, 0, 0, 9, 52, 201
"d:\Documents\GitHub\AniHub\gui\subscription_interface\add_anime_messagebox.py", "Python", 63, 0, 0, 6, 24, 93
"d:\Documents\GitHub\AniHub\gui\subscription_interface\anime_card.py", "Python", 179, 0, 0, 12, 47, 238
"d:\Documents\GitHub\AniHub\gui\subscription_interface\anime_episodes_table.py", "Python", 121, 0, 0, 4, 35, 160
"d:\Documents\GitHub\AniHub\gui\subscription_interface\anime_gallery.py", "Python", 44, 0, 0, 0, 13, 57
"d:\Documents\GitHub\AniHub\gui\subscription_interface\anime_gallery_scroll.py", "Python", 46, 0, 0, 0, 13, 59
"d:\Documents\GitHub\AniHub\gui\subscription_interface\change_info_messagebox.py", "Python", 13, 0, 0, 0, 7, 20
"d:\Documents\GitHub\AniHub\gui\subscription_interface\interface.py", "Python", 196, 0, 0, 20, 32, 248
"d:\Documents\GitHub\AniHub\gui\testground.py", "Python", 61, 0, 0, 0, 17, 78
"d:\Documents\GitHub\AniHub\lib\crawler\img_downloader.py", "Python", 58, 0, 0, 0, 15, 73
"d:\Documents\GitHub\AniHub\lib\crawler\img_downloader_multithread.py", "Python", 54, 0, 0, 2, 14, 70
"d:\Documents\GitHub\AniHub\lib\crawler\search.py", "Python", 98, 0, 0, 4, 18, 120
"d:\Documents\GitHub\AniHub\lib\crawler\update.py", "Python", 51, 0, 0, 5, 15, 71
"d:\Documents\GitHub\AniHub\lib\crawler\update_multithread.py", "Python", 50, 0, 0, 2, 17, 69
"d:\Documents\GitHub\AniHub\lib\models\anime.py", "Python", 59, 0, 0, 0, 21, 80
"d:\Documents\GitHub\AniHub\lib\models\subscribed_anime.py", "Python", 94, 0, 0, 3, 27, 124
"d:\Documents\GitHub\AniHub\lib\models\team.py", "Python", 29, 0, 0, 0, 9, 38
"d:\Documents\GitHub\AniHub\lib\subscription.py", "Python", 56, 0, 0, 0, 10, 66
"d:\Documents\GitHub\AniHub\lib\utils\cache.py", "Python", 45, 0, 0, 3, 10, 58
"d:\Documents\GitHub\AniHub\lib\utils\datetime_covertor.py", "Python", 17, 0, 0, 0, 4, 21
"d:\Documents\GitHub\AniHub\lib\utils\timer.py", "Python", 9, 0, 0, 0, 3, 12
"d:\Documents\GitHub\AniHub\main.py", "Python", 9, 0, 0, 0, 2, 11
"d:\Documents\GitHub\AniHub\old\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"d:\Documents\GitHub\AniHub\old\data\subscribed.json", "JSON", 0, 0, 156, 0, 0, 156
"d:\Documents\GitHub\AniHub\old\data\teams.json", "JSON", 0, 0, 13, 0, 0, 13
"d:\Documents\GitHub\AniHub\old\gui\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"d:\Documents\GitHub\AniHub\old\gui\add_anime_messagebox.py", "Python", 60, 0, 0, 7, 23, 90
"d:\Documents\GitHub\AniHub\old\gui\anime_container.py", "Python", 198, 0, 0, 13, 59, 270
"d:\Documents\GitHub\AniHub\old\gui\file_dialog.py", "Python", 20, 0, 0, 2, 9, 31
"d:\Documents\GitHub\AniHub\old\gui\image_selector.py", "Python", 56, 0, 0, 14, 22, 92
"d:\Documents\GitHub\AniHub\old\gui\search_bar.py", "Python", 56, 0, 0, 2, 18, 76
"d:\Documents\GitHub\AniHub\old\gui\search_interface.py", "Python", 53, 0, 0, 2, 21, 76
"d:\Documents\GitHub\AniHub\old\gui\search_result_table.py", "Python", 80, 0, 0, 0, 27, 107
"d:\Documents\GitHub\AniHub\old\gui\subscription_info_table.py", "Python", 75, 0, 0, 7, 31, 113
"d:\Documents\GitHub\AniHub\old\gui\subscription_interface.py", "Python", 178, 0, 0, 7, 51, 236
"d:\Documents\GitHub\AniHub\old\gui\top_menu.py", "Python", 43, 0, 0, 2, 18, 63
"d:\Documents\GitHub\AniHub\old\main_gui.py", "Python", 17, 0, 0, 0, 5, 22
"d:\Documents\GitHub\AniHub\old\main_terminal.py", "Python", 125, 0, 0, 7, 26, 158
"d:\Documents\GitHub\AniHub\old\utils\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"d:\Documents\GitHub\AniHub\old\utils\menu_in_terminal.py", "Python", 46, 0, 0, 0, 11, 57
"d:\Documents\GitHub\AniHub\old\utils\scraper.py", "Python", 76, 0, 0, 2, 16, 94
"d:\Documents\GitHub\AniHub\old\utils\update_manager.py", "Python", 102, 0, 0, 10, 19, 131
"d:\Documents\GitHub\AniHub\readme.md", "Markdown", 0, 29, 0, 0, 14, 43
"Total", "-", 2864, 29, 1286, 163, 851, 5193
